,ndims,niter,popsize,alpha_max,beta_max,angle_adjuster,coef,y
1,5.0,100.0,20.0,30.0,30.0,linear,0.99,24.331079172831824
2,5.0,10.0,20.0,30.0,30.0,linear,0.99,37.09761769076509
3,5.0,50.0,20.0,30.0,30.0,linear,0.99,24.331079172831824
4,5.0,100.0,20.0,30.0,30.0,linear,0.99,43.98990015980095
5,5.0,10.0,20.0,30.0,30.0,linear,0.99,54.5339400237065
6,5.0,50.0,20.0,30.0,30.0,linear,0.99,43.98990015980095
7,5.0,100.0,20.0,30.0,30.0,linear,0.99,40.60089711735764
8,5.0,10.0,20.0,30.0,30.0,linear,0.99,50.97889593945996
9,5.0,50.0,20.0,30.0,30.0,linear,0.99,40.60089711735764
10,5.0,100.0,50.0,30.0,30.0,linear,0.99,33.85740366082671
11,5.0,10.0,50.0,30.0,30.0,linear,0.99,33.85740366082671
12,5.0,50.0,50.0,30.0,30.0,linear,0.99,33.85740366082671
13,5.0,100.0,50.0,30.0,30.0,linear,0.99,11.947922334041088
14,5.0,10.0,50.0,30.0,30.0,linear,0.99,25.51918560225378
15,5.0,50.0,50.0,30.0,30.0,linear,0.99,11.947922334041088
16,5.0,100.0,50.0,30.0,30.0,linear,0.99,33.33853903824286
17,5.0,10.0,50.0,30.0,30.0,linear,0.99,51.36343031914439
18,5.0,50.0,50.0,30.0,30.0,linear,0.99,33.33853903824286
19,5.0,100.0,100.0,30.0,30.0,linear,0.99,25.291660366219197
20,5.0,10.0,100.0,30.0,30.0,linear,0.99,25.291660366219197
21,5.0,50.0,100.0,30.0,30.0,linear,0.99,25.291660366219197
22,5.0,100.0,100.0,30.0,30.0,linear,0.99,29.143005378961092
23,5.0,10.0,100.0,30.0,30.0,linear,0.99,29.143005378961092
24,5.0,50.0,100.0,30.0,30.0,linear,0.99,29.143005378961092
25,5.0,100.0,100.0,30.0,30.0,linear,0.99,31.129535304304767
26,5.0,10.0,100.0,30.0,30.0,linear,0.99,31.129535304304767
27,5.0,50.0,100.0,30.0,30.0,linear,0.99,31.129535304304767
28,5.0,100.0,20.0,30.0,30.0,geometric,0.99,42.75614667195622
29,5.0,10.0,20.0,30.0,30.0,geometric,0.99,42.75614667195622
30,5.0,50.0,20.0,30.0,30.0,geometric,0.99,42.75614667195622
31,5.0,100.0,20.0,30.0,30.0,geometric,0.99,43.811696043914964
32,5.0,10.0,20.0,30.0,30.0,geometric,0.99,52.80943904466682
33,5.0,50.0,20.0,30.0,30.0,geometric,0.99,43.811696043914964
