,ndims,niter,popsize,alpha_max,beta_max,angle_adjuster,coef,y
1,5.0,100.0,20.0,30.0,30.0,linear,0.99,37.49003730205751
2,5.0,10.0,20.0,30.0,30.0,linear,0.99,37.49003730205751
3,5.0,50.0,20.0,30.0,30.0,linear,0.99,37.49003730205751
4,5.0,100.0,20.0,30.0,30.0,linear,0.99,36.10605399678315
5,5.0,10.0,20.0,30.0,30.0,linear,0.99,36.39576204868675
6,5.0,50.0,20.0,30.0,30.0,linear,0.99,36.10605399678315
7,5.0,100.0,20.0,30.0,30.0,linear,0.99,46.07453105059346
8,5.0,10.0,20.0,30.0,30.0,linear,0.99,46.07453105059346
9,5.0,50.0,20.0,30.0,30.0,linear,0.99,46.07453105059346
10,5.0,100.0,50.0,30.0,30.0,linear,0.99,28.6084473367939
11,5.0,10.0,50.0,30.0,30.0,linear,0.99,28.6084473367939
12,5.0,50.0,50.0,30.0,30.0,linear,0.99,28.6084473367939
13,5.0,100.0,50.0,30.0,30.0,linear,0.99,37.15620067575141
14,5.0,10.0,50.0,30.0,30.0,linear,0.99,37.15620067575141
15,5.0,50.0,50.0,30.0,30.0,linear,0.99,37.15620067575141
16,5.0,100.0,50.0,30.0,30.0,linear,0.99,34.29848362011882
17,5.0,10.0,50.0,30.0,30.0,linear,0.99,45.227785932756035
18,5.0,50.0,50.0,30.0,30.0,linear,0.99,34.29848362011882
19,5.0,100.0,100.0,30.0,30.0,linear,0.99,36.46466882932737
20,5.0,10.0,100.0,30.0,30.0,linear,0.99,36.46466882932737
21,5.0,50.0,100.0,30.0,30.0,linear,0.99,36.46466882932737
22,5.0,100.0,100.0,30.0,30.0,linear,0.99,34.256395955768355
23,5.0,10.0,100.0,30.0,30.0,linear,0.99,36.859321595431624
24,5.0,50.0,100.0,30.0,30.0,linear,0.99,34.256395955768355
25,5.0,100.0,100.0,30.0,30.0,linear,0.99,24.554007263722127
26,5.0,10.0,100.0,30.0,30.0,linear,0.99,24.554007263722127
27,5.0,50.0,100.0,30.0,30.0,linear,0.99,24.554007263722127
28,5.0,100.0,20.0,30.0,30.0,geometric,0.99,38.02658384132042
29,5.0,10.0,20.0,30.0,30.0,geometric,0.99,38.02658384132042
30,5.0,50.0,20.0,30.0,30.0,geometric,0.99,38.02658384132042
31,5.0,100.0,20.0,30.0,30.0,geometric,0.99,46.1152570018057
32,5.0,10.0,20.0,30.0,30.0,geometric,0.99,48.644673150182655
33,5.0,50.0,20.0,30.0,30.0,geometric,0.99,46.1152570018057
34,5.0,100.0,20.0,30.0,30.0,geometric,0.99,44.54511602767386
35,5.0,10.0,20.0,30.0,30.0,geometric,0.99,44.54511602767386
36,5.0,50.0,20.0,30.0,30.0,geometric,0.99,44.54511602767386
37,5.0,100.0,50.0,30.0,30.0,geometric,0.99,28.090192741257432
38,5.0,10.0,50.0,30.0,30.0,geometric,0.99,28.090192741257432
39,5.0,50.0,50.0,30.0,30.0,geometric,0.99,28.090192741257432
40,5.0,100.0,50.0,30.0,30.0,geometric,0.99,34.22768390336885
41,5.0,10.0,50.0,30.0,30.0,geometric,0.99,34.22768390336885
42,5.0,50.0,50.0,30.0,30.0,geometric,0.99,34.22768390336885
43,5.0,100.0,50.0,30.0,30.0,geometric,0.99,17.909505541441952
44,5.0,10.0,50.0,30.0,30.0,geometric,0.99,20.36013494902609
45,5.0,50.0,50.0,30.0,30.0,geometric,0.99,17.909505541441952
46,5.0,100.0,100.0,30.0,30.0,geometric,0.99,23.53327355088346
47,5.0,10.0,100.0,30.0,30.0,geometric,0.99,23.53327355088346
48,5.0,50.0,100.0,30.0,30.0,geometric,0.99,23.53327355088346
49,5.0,100.0,100.0,30.0,30.0,geometric,0.99,37.45650927752807
